issue,tema,tema_sx,tema_wx,tema_bs,tema_dx,tema_ds,tema_hds,tema_jqys,tema_zshds
1,22,羊,,绿,,双,,家禽,
2,37,龙,,蓝,,单,,野兽,
3,33,猴,,绿,,单,,野兽,
4,33,猴,,绿,,单,,野兽,
5,8,鸡,,红,,双,,家禽,
6,4,牛,,蓝,,双,,家禽,
7,15,虎,,蓝,,单,,野兽,
8,46,羊,,红,,双,,家禽,
9,30,猪,,红,,双,,家禽,
10,25,龙,,蓝,,单,,野兽,
11,6,猪,,绿,,双,,家禽,
12,39,虎,,绿,,单,,野兽,
13,7,狗,,红,,单,,家禽,
14,27,虎,,绿,,单,,野兽,
15,36,蛇,,蓝,,双,,野兽,
16,21,猴,,绿,,单,,野兽,
17,38,兔,,绿,,双,,野兽,
18,10,羊,,蓝,,双,,家禽,
19,6,猪,,绿,,双,,家禽,
20,34,羊,,红,,双,,家禽,
21,14,兔,,蓝,,双,,野兽,
22,4,牛,,蓝,,双,,家禽,
23,45,猴,,红,,单,,野兽,
24,41,鼠,,蓝,,单,,野兽,
25,30,猪,,红,,双,,家禽,
26,37,龙,,蓝,,单,,野兽,
27,25,龙,,蓝,,单,,野兽,
28,40,牛,,红,,双,,家禽,
29,13,蛇,,红,,单,,野兽,
30,25,蛇,,蓝,,单,,野兽,
31,22,猴,,绿,,双,,野兽,
32,39,兔,,绿,,单,,野兽,
33,48,马,,蓝,,双,,家禽,
34,23,羊,,红,,单,,家禽,
35,21,鸡,,绿,,单,,家禽,
36,29,牛,,红,,单,,家禽,
37,25,蛇,,蓝,,单,,野兽,
38,20,狗,,蓝,,双,,家禽,
39,40,虎,,红,,双,,野兽,
40,20,狗,,蓝,,双,,家禽,
41,28,虎,,绿,,双,,野兽,
42,42,鼠,,蓝,,双,,野兽,
43,37,蛇,,蓝,,单,,野兽,
44,7,猪,,红,,单,,家禽,
45,30,鼠,,红,,双,,野兽,
46,12,马,,红,,双,,家禽,
47,12,马,,红,,双,,家禽,
48,18,鼠,,红,,双,,野兽,
49,43,猪,,绿,,单,,家禽,
50,5,牛,,绿,,单,,家禽,
51,49,蛇,,绿,,单,,野兽,
52,10,猴,,蓝,,双,,野兽,
53,11,羊,,绿,,单,,家禽,
54,25,蛇,,蓝,,单,,野兽,
55,44,狗,,绿,,双,,家禽,
56,42,鼠,,蓝,,双,,野兽,
57,20,狗,,蓝,,双,,家禽,
58,31,猪,,蓝,,单,,家禽,
59,24,马,,红,,双,,家禽,
60,11,羊,,绿,,单,,家禽,
61,10,猴,,蓝,,双,,野兽,
62,35,羊,,红,,单,,家禽,
63,23,羊,,红,,单,,家禽,
64,31,猪,,蓝,,单,,家禽,
65,48,马,,蓝,,双,,家禽,
66,12,马,,红,,双,,家禽,
67,44,狗,,绿,,双,,家禽,
68,44,狗,,绿,,双,,家禽,
69,29,牛,,红,,单,,家禽,
70,43,猪,,绿,,单,,家禽,
71,49,蛇,,绿,,单,,野兽,
72,40,虎,,红,,双,,野兽,
73,3,兔,,蓝,,单,,野兽,
74,35,羊,,红,,单,,家禽,
75,9,鸡,,蓝,,单,,家禽,
76,39,兔,,绿,,单,,野兽,
77,22,猴,,绿,,双,,野兽,
78,28,虎,,绿,,双,,野兽,
79,10,猴,,蓝,,双,,野兽,
80,24,马,,红,,双,,家禽,
81,38,龙,,绿,,双,,野兽,
82,34,猴,,红,,双,,野兽,
83,28,虎,,绿,,双,,野兽,
84,20,狗,,蓝,,双,,家禽,
85,35,羊,,红,,单,,家禽,
86,30,鼠,,红,,双,,野兽,
87,15,兔,,蓝,,单,,野兽,
88,15,兔,,蓝,,单,,野兽,
89,14,龙,,蓝,,双,,野兽,
90,35,羊,,红,,单,,家禽,
91,40,虎,,红,,双,,野兽,
92,39,兔,,绿,,单,,野兽,
93,10,猴,,蓝,,双,,野兽,
94,33,鸡,,绿,,单,,家禽,
95,20,狗,,蓝,,双,,家禽,
96,34,猴,,红,,双,,野兽,
97,31,猪,,蓝,,单,,家禽,
98,3,兔,,蓝,,单,,野兽,
99,20,狗,,蓝,,双,,家禽,
100,42,鼠,,蓝,,双,,野兽,
101,1,蛇,,红,,单,,野兽,
102,38,龙,,绿,,双,,野兽,
103,32,狗,,绿,,双,,家禽,
104,6,鼠,,绿,,双,,野兽,
105,26,龙,,蓝,,双,,野兽,
106,18,鼠,,红,,双,,野兽,
107,46,猴,,红,,双,,野兽,
108,27,兔,,绿,,单,,野兽,
109,3,兔,,蓝,,单,,野兽,
110,47,羊,,蓝,,单,,家禽,
111,45,鸡,,红,,单,,家禽,
112,45,鸡,,红,,单,,家禽,
113,46,猴,,红,,双,,野兽,
114,38,龙,,绿,,双,,野兽,
115,3,兔,,蓝,,单,,野兽,
116,23,羊,,红,,单,,家禽,
117,47,羊,,蓝,,单,,家禽,
118,36,马,,蓝,,双,,家禽,
119,38,龙,,绿,,双,,野兽,
120,28,虎,,绿,,双,,野兽,
121,24,马,,红,,双,,家禽,
122,33,鸡,,绿,,单,,家禽,
123,45,鸡,,红,,单,,家禽,
124,10,猴,,蓝,,双,,野兽,
125,49,蛇,,绿,,单,,野兽,
126,2,龙,,红,,双,,野兽,
127,49,蛇,,绿,,单,,野兽,
128,13,蛇,,红,,单,,野兽,
129,40,虎,,红,,双,,野兽,
130,23,羊,,红,,单,,家禽,
131,47,羊,,蓝,,单,,家禽,
132,2,龙,,红,,双,,野兽,
133,10,猴,,蓝,,双,,野兽,
134,14,龙,,蓝,,双,,野兽,
135,37,蛇,,蓝,,单,,野兽,
136,9,鸡,,蓝,,单,,家禽,
137,36,马,,蓝,,双,,家禽,
138,41,牛,,蓝,,单,,家禽,
139,14,龙,,蓝,,双,,野兽,
140,11,羊,,绿,,单,,家禽,
141,13,蛇,,红,,单,,野兽,
142,44,狗,,绿,,双,,家禽,
143,10,猴,,蓝,,双,,野兽,
144,25,蛇,,蓝,,单,,野兽,
145,17,牛,,绿,,单,,家禽,
146,14,龙,,蓝,,双,,野兽,
147,32,狗,,绿,,双,,家禽,
148,2,龙,,红,,双,,野兽,
149,41,牛,,蓝,,单,,家禽,
150,40,虎,,红,,双,,野兽,
151,38,龙,,绿,,双,,野兽,
152,10,猴,,蓝,,双,,野兽,
153,43,猪,,绿,,单,,家禽,
154,26,龙,,蓝,,双,,野兽,
155,45,鸡,,红,,单,,家禽,
156,18,鼠,,红,,双,,野兽,
157,23,羊,,红,,单,,家禽,
158,5,牛,,绿,,单,,家禽,
159,31,猪,,蓝,,单,,家禽,
160,11,羊,,绿,,单,,家禽,
161,16,虎,,绿,,双,,野兽,
162,1,蛇,,红,,单,,野兽,
163,23,羊,,红,,单,,家禽,
164,13,蛇,,红,,单,,野兽,
165,47,羊,,蓝,,单,,家禽,
166,41,牛,,蓝,,单,,家禽,
167,9,鸡,,蓝,,单,,家禽,
168,16,虎,,绿,,双,,野兽,
169,7,猪,,红,,单,,家禽,
170,33,鸡,,绿,,单,,家禽,
171,47,羊,,蓝,,单,,家禽,
172,36,马,,蓝,,双,,家禽,
173,38,龙,,绿,,双,,野兽,
174,39,兔,,绿,,单,,野兽,
175,30,鼠,,红,,双,,野兽,
176,36,马,,蓝,,双,,家禽,
177,4,虎,,蓝,,双,,野兽,
178,27,兔,,绿,,单,,野兽,
179,24,马,,红,,双,,家禽,
180,29,牛,,红,,单,,家禽,
181,23,羊,,红,,单,,家禽,
182,42,鼠,,蓝,,双,,野兽,
183,33,鸡,,绿,,单,,家禽,
184,28,虎,,绿,,双,,野兽,
185,5,牛,,绿,,单,,家禽,
186,8,狗,,红,,双,,家禽,
187,45,鸡,,红,,单,,家禽,
188,15,兔,,蓝,,单,,野兽,
189,17,牛,,绿,,单,,家禽,
190,18,鼠,,红,,双,,野兽,
191,29,牛,,红,,单,,家禽,
192,45,鸡,,红,,单,,家禽,
193,24,马,,红,,双,,家禽,
194,29,牛,,红,,单,,家禽,
195,25,蛇,,蓝,,单,,野兽,
196,14,龙,,蓝,,双,,野兽,
197,34,猴,,红,,双,,野兽,
198,43,猪,,绿,,单,,家禽,
199,10,猴,,蓝,,双,,野兽,
200,47,羊,,蓝,,单,,家禽,
201,47,羊,,蓝,,单,,家禽,
202,20,狗,,蓝,,双,,家禽,
203,18,鼠,,红,,双,,野兽,
204,30,鼠,,红,,双,,野兽,
