issue,date,zm1,zm2,zm3,zm4,zm5,zm6,tm
1,2025年01月01日,25,18,6,14,29,39,22
2,2025年01月02日,13,4,10,6,5,28,37
3,2025年01月03日,28,1,16,47,18,42,33
4,2025年01月04日,45,16,17,7,37,28,33
5,2025年01月05日,35,21,10,3,32,40,8
6,2025年01月06日,3,13,12,28,1,18,4
7,2025年01月07日,32,12,48,45,39,7,15
8,2025年01月08日,13,24,48,23,32,20,46
9,2025年01月09日,23,17,43,1,10,13,30
10,2025年01月10日,37,18,17,47,21,23,25
11,2025年01月11日,7,45,3,30,1,10,6
12,2025年01月12日,24,32,10,15,37,4,39
13,2025年01月13日,42,43,36,11,25,47,7
14,2025年01月14日,48,20,30,39,41,6,27
15,2025年01月15日,13,37,2,3,43,12,36
16,2025年01月16日,40,22,27,42,43,39,21
17,2025年01月17日,42,29,20,49,22,6,38
18,2025年01月18日,12,1,24,33,21,44,10
19,2025年01月19日,3,23,49,13,39,26,6
20,2025年01月20日,44,4,47,1,49,14,34
21,2025年01月21日,39,19,24,31,32,30,14
22,2025年01月22日,27,23,26,14,16,18,4
23,2025年01月23日,15,43,6,30,16,9,45
24,2025年01月24日,3,45,18,40,28,2,41
25,2025年01月25日,17,42,28,44,5,20,30
26,2025年01月26日,36,25,7,2,34,9,37
27,2025年01月27日,2,6,28,32,45,16,25
28,2025年01月27日,34,14,29,33,5,28,40
29,2025年01月29日,14,46,3,35,43,10,13
30,2025年01月30日,27,39,23,45,44,46,25
31,2025年01月31日,30,23,8,24,33,25,22
32,2025年02月01日,22,15,13,2,17,33,39
33,2025年02月02日,41,22,19,40,46,39,48
34,2025年02月03日,1,4,21,40,16,49,23
35,2025年02月04日,27,35,32,37,6,18,21
36,2025年02月05日,38,7,19,47,10,40,29
37,2025年02月06日,35,32,46,8,37,16,25
38,2025年02月07日,11,1,47,39,12,3,20
39,2025年02月08日,41,48,10,17,34,43,40
40,2025年02月09日,1,32,35,30,8,16,20
41,2025年02月10日,48,35,22,30,26,4,28
42,2025年02月11日,44,13,39,22,46,47,42
43,2025年02月12日,4,27,38,40,19,35,37
44,2025年02月13日,24,28,46,34,14,43,7
45,2025年02月14日,40,28,3,48,31,8,30
46,2025年02月15日,41,1,24,34,33,30,12
47,2025年02月16日,14,22,13,31,20,16,12
48,2025年02月17日,7,35,23,33,46,27,18
49,2025年02月18日,49,5,1,17,31,6,43
50,2025年02月19日,29,21,46,48,15,45,5
51,2025年02月20日,27,22,31,7,13,18,49
52,2025年02月21日,7,6,17,13,34,31,10
53,2025年02月22日,33,48,5,19,13,17,11
54,2025年02月23日,23,28,30,35,19,27,25
55,2025年02月24日,47,36,40,43,11,37,44
56,2025年02月25日,41,8,33,30,43,7,42
57,2025年02月26日,10,11,13,1,40,22,20
58,2025年02月27日,22,23,33,34,49,19,31
59,2025年02月28日,40,16,17,26,36,4,24
60,2025年03月01日,10,8,17,13,47,44,11
61,2025年03月02日,42,28,39,6,23,35,10
62,2025年03月03日,27,37,10,26,2,48,35
63,2025年03月04日,42,5,38,3,49,21,23
64,2025年03月05日,48,40,3,33,47,4,31
65,2025年03月06日,30,41,38,25,35,16,48
66,2025年03月07日,49,45,27,22,13,26,12
67,2025年03月08日,15,35,39,48,45,11,44
68,2025年03月09日,42,33,47,40,30,2,44
69,2025年03月10日,44,30,5,40,6,15,29
70,2025年03月11日,16,35,46,25,19,18,43
71,2025年03月12日,32,9,44,36,23,40,49
72,2025年03月13日,35,37,48,33,14,22,40
73,2025年03月14日,43,22,48,23,33,10,3
74,2025年03月15日,22,21,1,47,29,11,35
75,2025年03月16日,30,5,10,37,32,7,9
76,2025年03月17日,28,2,14,10,16,23,39
77,2025年03月18日,5,23,27,17,11,39,22
78,2025年03月19日,15,38,18,3,8,11,28
79,2025年03月20日,4,20,9,32,29,44,10
80,2025年03月21日,27,38,29,2,44,31,24
81,2025年03月22日,48,8,40,9,18,27,38
82,2025年03月23日,10,35,4,45,24,9,34
83,2025年03月24日,45,4,6,47,46,11,28
84,2025年03月25日,17,45,24,23,38,40,20
85,2025年03月26日,32,31,18,14,8,19,35
86,2025年03月27日,19,29,31,2,42,26,30
87,2025年03月28日,30,16,14,28,29,3,15
88,2025年03月29日,14,11,39,10,45,33,15
89,2025年03月30日,45,19,13,25,15,27,14
90,2025年03月31日,17,7,23,38,12,18,35
91,2025年04月01日,35,23,32,31,8,24,40
92,2025年04月02日,23,24,36,3,4,32,39
93,2025年04月03日,16,23,28,21,27,46,10
94,2025年04月04日,35,43,31,37,15,39,33
95,2025年04月05日,4,43,37,40,24,16,20
96,2025年04月06日,42,46,25,5,40,22,34
97,2025年04月07日,1,32,24,23,4,2,31
98,2025年04月08日,30,39,31,8,21,20,3
99,2025年04月09日,1,34,43,38,6,22,20
100,2025年04月10日,25,3,34,8,31,41,42
101,2025年04月11日,20,49,36,37,42,30,1
102,2025年04月12日,24,40,7,30,47,9,38
103,2025年04月13日,16,28,3,30,42,49,32
104,2025年04月14日,9,20,33,11,32,21,6
105,2025年04月15日,12,28,48,37,18,43,26
106,2025年04月16日,45,20,11,23,34,42,18
107,2025年04月17日,8,9,15,24,18,42,46
108,2025年04月18日,40,20,39,49,8,1,27
109,2025年04月19日,47,16,8,41,6,19,3
110,2025年04月20日,15,20,14,46,31,30,47
111,2025年04月21日,2,17,13,41,28,36,45
112,2025年04月22日,15,43,38,24,18,4,45
113,2025年04月23日,2,26,43,38,3,9,46
114,2025年04月24日,6,41,5,46,15,9,38
115,2025年04月25日,14,7,9,22,10,4,3
116,2025年04月26日,19,43,35,40,10,48,23
117,2025年04月27日,33,46,40,6,22,45,47
118,2025年04月28日,19,15,6,39,46,35,36
119,2025年04月29日,21,37,10,45,19,30,38
120,2025年04月30日,18,25,5,35,31,43,28
121,2025年05月01日,25,7,31,34,23,39,24
122,2025年05月02日,7,46,3,2,47,22,33
123,2025年05月03日,37,30,49,16,9,12,45
124,2025年05月04日,18,41,9,14,7,39,10
125,2025年05月05日,18,25,19,28,1,8,49
126,2025年05月06日,5,13,10,28,3,31,2
127,2025年05月07日,45,35,8,20,4,22,49
128,2025年05月08日,4,43,18,45,38,26,13
129,2025年05月09日,34,45,20,42,19,25,40
130,2025年05月10日,20,30,10,33,28,8,23
131,2025年05月11日,13,44,4,20,36,30,47
132,2025年05月12日,24,46,26,42,15,35,2
133,2025年05月13日,45,3,16,1,21,38,10
134,2025年05月14日,38,27,4,23,6,34,14
135,2025年05月15日,32,44,25,3,34,33,37
136,2025年05月16日,31,23,25,33,2,21,9
137,2025年05月17日,39,35,46,25,48,45,36
138,2025年05月18日,20,27,39,47,29,3,41
139,2025年05月19日,38,27,47,30,45,9,14
140,2025年05月20日,22,45,2,41,39,31,11
141,2025年05月21日,30,22,31,34,39,3,13
142,2025年05月22日,17,30,8,29,23,33,44
143,2025年05月23日,27,19,17,2,24,15,10
144,2025年05月24日,36,31,19,1,34,29,25
145,2025年05月25日,30,25,29,28,10,49,17
146,2025年05月26日,24,41,25,3,11,47,14
147,2025年05月27日,47,14,38,26,19,35,32
148,2025年05月28日,48,26,5,31,44,9,2
149,2025年05月29日,44,43,25,3,29,19,41
150,2025年05月30日,24,43,18,31,45,12,40
151,2025年05月31日,29,49,26,25,35,39,38
152,2025年06月01日,9,34,17,29,35,12,10
153,2025年06月02日,42,11,25,8,45,9,43
154,2025年06月03日,37,18,45,25,47,42,26
155,2025年06月04日,6,34,33,12,37,20,45
156,2025年06月05日,15,13,38,17,28,32,18
157,2025年06月06日,37,5,16,12,17,3,23
158,2025年06月07日,15,48,4,17,42,21,5
159,2025年06月08日,45,34,35,22,24,8,31
160,2025年06月09日,23,42,32,46,30,40,11
161,2025年06月10日,49,41,44,29,38,18,16
162,2025年06月11日,38,2,22,48,15,12,1
163,2025年06月12日,38,18,43,29,10,32,23
164,2025年06月13日,46,38,14,39,26,8,13
165,2025年06月14日,23,37,17,8,42,49,47
166,2025年06月15日,30,38,18,14,42,16,41
167,2025年06月16日,11,27,30,6,36,3,9
168,2025年06月17日,31,7,40,15,9,25,16
169,2025年06月18日,11,2,32,38,29,31,7
170,2025年06月19日,22,20,36,44,31,19,33
171,2025年06月20日,15,4,23,36,27,7,47
172,2025年06月21日,3,15,4,39,2,28,36
173,2025年06月22日,46,32,30,5,42,4,38
174,2025年06月23日,11,36,22,24,20,12,39
175,2025年06月24日,37,3,32,12,8,29,30
176,2025年06月25日,12,5,24,28,22,17,36
177,2025年06月26日,31,30,11,49,22,41,4
178,2025年06月27日,42,30,37,20,6,7,27
179,2025年06月28日,42,8,5,30,29,25,24
180,2025年06月29日,14,37,28,43,1,41,29
181,2025年06月30日,10,21,40,37,2,39,23
182,2025年07月01日,1,49,21,39,6,34,42
183,2025年07月02日,12,39,38,7,28,45,33
184,2025年07月03日,8,32,20,30,18,35,28
185,2025年07月04日,22,40,29,45,11,1,5
186,2025年07月05日,13,40,22,20,17,9,8
187,2025年07月06日,7,31,18,14,26,4,45
188,2025年07月07日,3,7,13,49,32,35,15
189,2025年07月08日,11,36,3,39,48,41,17
190,2025年07月09日,8,24,3,36,49,25,18
191,2025年07月10日,33,41,40,24,37,18,29
192,2025年07月11日,19,31,10,46,20,3,45
193,2025年07月12日,17,16,4,14,6,42,24
194,2025年07月13日,11,30,46,43,3,7,29
195,2025年07月14日,22,12,42,8,6,27,25
196,2025年07月15日,31,33,27,21,9,12,14
197,2025年07月16日,15,25,10,43,12,24,34
198,2025年07月17日,33,3,7,45,39,15,43
199,2025年07月18日,37,32,5,21,13,11,10
200,2025年07月19日,22,21,42,41,11,15,47
201,2025年07月20日,5,30,1,37,25,46,47
202,2025年07月21日,17,33,9,48,44,5,20
203,2025年07月22日,27,23,39,10,12,44,18
